Product,Shop,Category,Model,Model Number,Quantity,Cost Price,Sales Price
VIVO 8-128GB V20 SE Blue,Mobi-Point,Smart Phone-Brand New,VIVO-V20 SE,,1,23000,23000
VIVO 6GB-128GB Y51 TITANIUM SAPPHIORE,Mobi-Point,Smart Phone-Brand New,VIVO-Y51,,1,19000,19000
VIVO 3GB-32GB Y20A DAWN WHITE,Mobi-Point,Smart Phone-Brand New,VIVO-Y20A,,1,"12,000","12,000"
VIVO 3GB-32GB Y91I OCEAN BLUE,Mobi-Point,Smart Phone-Brand New,VIVO-Y91I,,1,"10,000","10,000"
POCO 6-128GB POCO X3 COBALT BLUE,Mobi-Point,Smart Phone-Brand New,POCO-POCO X3,,1,19000,19000
REALME 6-64GB 7 MIST WHITE,Mobi-Point,Smart Phone-Brand New,REALME-7,,1,16000,16000
REDMI 4-64GB NOTE 9 PRO INDTELLER BLACK,Mobi-Point,Smart Phone-Brand New,REDMI-NOTE 9 PRO,,1,14500,14500
SAMSUNG 6-128GB A51 CRUSH BLUE,Mobi-Point,Smart Phone-Brand New,SAMSUNG-A51,,1,26000,26000
SAMSUNG 6GB+128ROM A31 BLACK,Mobi-Point,Smart Phone-Brand New,SAMSUNG-A31,,1,19000,19000
SAMSUNG 3GB+32ROM M11 METALIC BLUE,Mobi-Point,Smart Phone-Brand New,SAMSUNG-M11,,1,12000,12000
SAMSUNG 3GB+32ROM M01 RED,Mobi-Point,Smart Phone-Brand New,SAMSUNG-M01,,1,8500,8500
SAMSUNG 2GB+32ROM (CORE)M01 RED,Mobi-Point,Smart Phone-Brand New,SAMSUNG-(CORE)M01,,1,7000,7000
SAMSUNG 2GB+32ROM M02 BLACK,Mobi-Point,Smart Phone-Brand New,SAMSUNG-M02,,1,8500,8500
OPPO 8-128GB F17PRO magic blue,Mobi-Point,Smart Phone-Brand New,OPPO-F17PRO,,1,23000,23000
VIVO 4GB-64GB V9 BLACK,Mobi-Point,Smart Phone-REFURBISHED,VIVO-V9,,1,6500,6500
VIVO 4-32GB V7 GOLD,Mobi-Point,Smart Phone-REFURBISHED,VIVO-V7,,1,,
OPPO 3-32GB A3S RED,Mobi-Point,Smart Phone-REFURBISHED,OPPO-A3S,,1,5000,5000
OPPO 3-32GB A57 GOLD,Mobi-Point,Smart Phone-REFURBISHED,OPPO-A57,,4,5500,5500
Redmi 3-32GB REDMI NOTE 7S BLUE,Mobi-Point,Smart Phone-REFURBISHED,Redmi-REDMI NOTE 7S,,1,9000,9000
Redmi 3-32GB REDMI 7 RED,Mobi-Point,Smart Phone-REFURBISHED,Redmi-REDMI 7,,1,9000,9000
Redmi 4-64GB REDMI NOTE 5 PRO BLACK,Mobi-Point,Smart Phone-REFURBISHED,Redmi-REDMI NOTE 5 PRO,,1,7500,7500
Redmi 4-64GB REDMI 5 GOLD&BLACK,Mobi-Point,Smart Phone-REFURBISHED,Redmi-REDMI 5,,3,6500,6500
Karbonn 1-8GB karbon k9 smart BROWN,Mobi-Point,Smart Phone-REFURBISHED,Karbonn-karbon k9 smart,,1,3000,3000
SAMSUNG 1-8GB samsung j2 GOLD,Mobi-Point,Smart Phone-REFURBISHED,SAMSUNG-samsung j2,,1,3500,3500
SAMSUNG 4-64GB SAMSUNG J7 PRO GOLD,Mobi-Point,Smart Phone-REFURBISHED,SAMSUNG-SAMSUNG J7 PRO,,1,6000,6000
SAMSUNG 4-32GB LENOVO K8 NOTE BLACK&GOLD,Mobi-Point,Smart Phone-REFURBISHED,SAMSUNG-LENOVO K8 NOTE,,3,5500,5500
Lenova 3-32GB LENOVO K8 PLUS BLACK,Mobi-Point,Smart Phone-REFURBISHED,Lenova-LENOVO K8 PLUS,,3,5000,5000
Lenova  NOKIA 105 DUAL SIM BLACK,Mobi-Point,FEAUTERE Phone-KEYPAD,Lenova-NOKIA 105 DUAL SIM,,1,1500,1500
Nokia  NOKIA105 Single sim BLUE,Mobi-Point,FEAUTERE Phone-KEYPAD,Nokia-NOKIA105 Single sim,,1,1350,1350
Nokia  NOKIA105 Single sim BLACK,Mobi-Point,FEAUTERE Phone-KEYPAD,Nokia-NOKIA105 Single sim,,2,1350,1350
Nokia  NOKIA110 BLACK,Mobi-Point,FEAUTERE Phone-KEYPAD,Nokia-NOKIA110,,1,2000,2000
Nokia  NOKIA5310 BLACK,Mobi-Point,FEAUTERE Phone-KEYPAD,Nokia-NOKIA5310,,1,4000,4000
Lava  (LAVA)A3 DARK BLUE,Mobi-Point,FEAUTERE Phone-KEYPAD,Lava-(LAVA)A3,,4,1400,1400
Lava  A1 BLACK,Mobi-Point,FEAUTERE Phone-KEYPAD,Lava-A1,,7,1150,1150
Lava  HERO Blue,Mobi-Point,FEAUTERE Phone-KEYPAD,Lava-HERO,,7,850,850
SAMSUNG  (GURU)1200 WHITE,Mobi-Point,FEAUTERE Phone-KEYPAD,SAMSUNG-(GURU)1200,,4,1350,1350
SAMSUNG  (GURU FM)plus DARK BLUE,Mobi-Point,FEAUTERE Phone-KEYPAD,SAMSUNG-(GURU FM)plus,,1,1660,1660
SAMSUNG  (GURU MUSIC)2 BLUE,Mobi-Point,FEAUTERE Phone-KEYPAD,SAMSUNG-(GURU MUSIC)2,,2,1950,1950
SAMSUNG  (METRO)313 GOLD,Mobi-Point,FEAUTERE Phone-KEYPAD,SAMSUNG-(METRO)313,,5,2300,2300
ITEL  (POWER)110 BLUE,Mobi-Point,FEAUTERE Phone-KEYPAD,ITEL-(POWER)110,,2,1250,1250
ITEL  (POWER)110 BLACK,Mobi-Point,FEAUTERE Phone-KEYPAD,ITEL-(POWER)110,,2,1250,1250
ITEL  (POWER)400 BLACK,Mobi-Point,FEAUTERE Phone-KEYPAD,ITEL-(POWER)400,,1,1350,1350
